GroupLevel_0,GroupLevel_1,GroupLevel_2,Dataset,Size,Shape,DataType
AwakeEventData, , , , , , 
 ,AIRTR01, , , , , 
 , ,Acq, , , , 
 , , ,numericPosition,1,"(1,)",float32
 ,AIRTR02, , , , , 
 , ,Acq, , , , 
 , , ,numericPosition,1,"(1,)",float32
 ,AWAKEInjPhaseShifter, , , , , 
 , ,PhaseReadback, , , , 
 , , ,phaseACurrentValue,1,"(1,)",float32
 ,BLMITT41, , , , , 
 , ,Acquisition, , , , 
 , , ,acqDesc,1,"(1,)",|S1
 , , ,acqMsg,1,"(1,)",|S1
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",int32
 , , ,alarmStatus,40,"(40,)",int16
 , , ,blrSignalStatus,40,"(40,)",int16
 , , ,calLosses,40,"(40,)",float32
 , , ,calLosses_unit,1,"(1,)",|S4
 , , ,calLosses_unitExponent,1,"(1,)",int32
 , , ,calThresholds,40,"(40,)",float32
 , , ,channelNames,15,"(15,)",|S15
 , , ,deviceName,1,"(1,)",|S5
 , , ,enableExtFlagBIC,2,"(2,)",int32
 , , ,measStamp,1,"(1,)",int32
 , , ,nbOfChannels,1,"(1,)",int32
 , , ,nbOfMeas,1,"(1,)",int32
 , , ,normLosses,40,"(40,)",float32
 , , ,observables,1,"(1,)",int32
 , , ,rawLosses,40,"(40,)",int16
 , , ,superCycleNb,1,"(1,)",int32
 , , ,totalGains,5,"(5,)",int32
 ,BOVWA.01TCC4.AWAKECAM01, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,2048,"(2048,)",float64
 , , ,imageRawData,2211840,"(1080, 2048)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1080,"(1080,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.01TCV4.CAM8, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,2592,"(2592,)",float64
 , , ,imageRawData,5308416,"(2048, 2592)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,2048,"(2048,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.02TCC4.AWAKECAM02, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1280,"(1280,)",float64
 , , ,imageRawData,1228800,"(960, 1280)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,960,"(960,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.02TSG40.CAM7, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1920,"(1920,)",float64
 , , ,imageRawData,2304000,"(1200, 1920)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
